grade,zipcode,lat,long,sqft_living,sqft_living15,sqft_lot,sqft_lot15,sqft_above,sqft_basement,bedrooms,bathrooms,floors,waterfront,view,condition,yr_built,yr_renovated,price
9,98042,47.367,-122.152,1780,2750,13095,13095,1780,0,3,1.75,1.0,0,0,4,1983,0,325000.0
6,98118,47.552,-122.29,1000,1270,3700,5000,800,200,2,1.0,1.0,0,0,3,1929,0,257000.0
6,98146,47.4838,-122.335,1080,1170,7486,7800,990,90,3,1.0,1.5,0,0,3,1942,0,228500.0
7,98031,47.3951,-122.172,2090,1800,7500,7350,1280,810,3,2.25,1.0,0,0,4,1977,0,288000.0
8,98034,47.7043,-122.209,1741,2090,1439,10454,1446,295,2,2.5,2.0,0,0,3,2007,0,479000.0
8,98027,47.4846,-122.035,2340,2060,51836,77536,1510,830,3,1.75,1.5,0,0,3,1978,0,459900.0
7,98034,47.7289,-122.172,2040,1530,7488,7488,1200,840,5,2.75,1.0,0,0,4,1969,0,449500.0
9,98028,47.759,-122.269,3320,2820,13138,13138,1900,1420,5,2.25,1.0,0,2,4,1964,0,769000.0
8,98136,47.5355,-122.39,1760,1980,8400,8400,1460,300,3,1.75,1.0,0,0,4,1960,0,680000.0
7,98038,47.3833,-122.043,1610,1790,5024,3717,1610,0,3,2.5,2.0,0,0,3,2004,0,293500.0
7,98178,47.5026,-122.236,1190,1200,6000,6000,1190,0,3,1.75,1.0,0,0,3,1952,2015,203000.0
7,98188,47.4586,-122.283,2480,1910,7200,9432,1560,920,5,3.0,1.0,0,0,3,1999,0,360000.0
7,98058,47.434,-122.154,1390,1630,7200,7340,1390,0,3,2.0,1.0,0,0,3,1996,0,258000.0
7,98188,47.453,-122.289,1040,1350,8410,8410,1040,0,3,1.0,1.0,0,0,3,1942,2014,245990.0
7,98030,47.3807,-122.222,2980,2240,9838,9838,1710,1270,5,2.75,1.0,0,0,3,1968,0,352000.0
7,98108,47.5537,-122.313,1470,1470,1235,1243,1180,290,3,3.25,2.0,0,0,3,2008,0,300000.0
7,98122,47.6147,-122.3,700,1440,4800,4800,700,0,2,1.0,1.0,0,0,3,1922,0,430000.0
10,98005,47.6518,-122.16,4350,3280,37169,41631,2950,1400,5,3.0,2.0,0,0,3,1972,0,900000.0
7,98118,47.5183,-122.265,1760,1510,5500,5500,780,980,4,2.0,1.0,0,1,3,1925,2004,285000.0
6,98106,47.5272,-122.359,1560,1320,5760,7680,780,780,3,1.75,1.0,0,0,5,1927,0,353900.0
7,98004,47.584,-122.195,2480,2440,9195,9195,1390,1090,4,1.75,1.0,0,0,3,1950,0,780000.0
7,98126,47.5561,-122.379,2760,2060,6350,6342,1380,1380,5,2.25,1.0,0,0,3,1958,0,600000.0
9,98030,47.3428,-122.179,2448,2815,4949,5446,2448,0,4,2.5,2.0,0,0,3,2014,0,447055.0
7,98178,47.4973,-122.252,1540,2510,6632,6618,1070,470,3,1.75,1.0,0,0,3,1959,0,284200.0
9,98040,47.5368,-122.216,3160,3260,11470,11470,1780,1380,5,2.5,1.0,0,0,4,1971,0,980000.0
8,98072,47.7502,-122.085,1930,1880,13041,10234,1180,750,4,2.75,1.0,0,0,4,1980,0,469500.0
